student_id,interests,academic_level,learning_style
s1,"math,literature,physics",grade_10,in_person
s2,"physics",grade_8,in_person
s3,"chemistry",grade_11,in_person
s4,"physics,english",grade_12,online
s5,"literature,math,physics",grade_11,in_person
s6,"chemistry,physics",grade_10,in_person
s7,"math",grade_12,in_person
s8,"math",grade_12,in_person
s9,"physics,chemistry",grade_11,online
s10,"history,geography,biology",grade_10,online
s11,"literature,english",grade_8,online
s12,"literature,math,history",grade_11,in_person
s13,"biology",grade_10,in_person
s14,"geography,physics",grade_11,online
s15,"math,chemistry,english",grade_11,in_person
s16,"literature,history",grade_8,in_person
s17,"biology,geography",grade_8,online
s18,"physics",grade_8,online
s19,"literature,math,physics,chemistry",grade_11,online
s20,"english,history",grade_8,in_person
s21,"literature,biology",grade_11,in_person
s22,"math,physics",grade_11,in_person
s23,"geography",grade_11,in_person
s24,"chemistry,biology,english",grade_11,in_person
s25,"history,literature,english",grade_6,in_person
s26,"math,geography",grade_8,online
s27,"literature",grade_8,in_person
s28,"chemistry",grade_10,in_person
s29,"physics,math",grade_11,in_person
s30,"biology,geography,chemistry",grade_12,in_person
s31,"history",grade_12,online
s32,"literature,math,biology",grade_11,online
s33,"english",grade_10,in_person
s34,"chemistry,physics,geography",grade_12,in_person
s35,"literature,history,geography",grade_12,in_person
s36,"math,biology",grade_10,in_person
s37,"physics,english",grade_12,in_person
s38,"geography,chemistry",grade_10,online
s39,"history,literature",grade_12,online
s40,"literature,math,english",grade_11,online
s41,"biology,physics",grade_12,online
s42,"math,chemistry",grade_11,in_person
s43,"history,geography",grade_12,in_person
s44,"literature,physics,geography",grade_12,in_person
s45,"math,biology,history",grade_11,in_person
s46,"literature,chemistry,english",grade_12,online
s47,"math,biology,english",grade_12,online
s48,"literature,math,chemistry",grade_12,in_person
s49,"history,chemistry",grade_12,in_person
s50,"physics,geography,english",grade_10,in_person
s51,"biology,physics,math",grade_10,online
s52,"literature,chemistry,biology",grade_12,in_person
s53,"geography,english",grade_12,in_person
s54,"math,history",grade_12,online
s55,"literature,math,geography",grade_12,online
s56,"chemistry,english",grade_10,in_person
s57,"history,biology",grade_12,in_person
s58,"literature,physics",grade_12,online
s59,"math,geography,chemistry",grade_10,in_person
s60,"literature,english",grade_12,in_person
s61,"chemistry,biology",grade_12,online
s62,"geography,history",grade_10,online
s63,"math,physics",grade_12,online
s64,"english",grade_11,online
s65,"math",grade_8,in_person
s66,"chemistry",grade_12,in_person
s67,"math,literature,physics",grade_8,in_person